id,nombre,sistema_electrico,provincia,comuna,consumo_mw
108,TAP LOS DOMINICOS,SIC,SANTIAGO,LAS CONDES,115.072867
109,QUILLECO,SIC,BIOBIO,QUILLECO,111.613226
110,COMBARBALA,SIC,LIMARI,COMBARBALA,111.673337
111,1 (CODELCO),SIC,VALPARAISO,PUCHUNCAVI,133.267135
112,TAP SAN PEDRO,SIC,CONCEPCION,SAN PEDRO DE LA PAZ,115.667787
113,MULCHEN,SIC,BIOBIO,MULCHEN,100.272514
114,SAN JOAQUIN (CHILECTRA),SIC,SANTIAGO,SAN JOAQUIN,104.696424
115,TAP LONGAVI,SIC,LINARES,LONGAVI,119.783354
116,CENTRAL TG HORCONES,SIC,ARAUCO,ARAUCO,114.738088
117,EL EMPALME,SIC,LLANQUIHUE,MAULLIN,108.583213
118,TRES PINOS,SIC,ARAUCO,LOS ALAMOS,109.799041
119,GRANEROS,SIC,CACHAPOAL,GRANEROS,119.119583
120,MONTE PATRIA,SIC,LIMARI,MONTE PATRIA,129.498215
121,METRO,SIC,SANTIAGO,SANTIAGO,133.892407
122,EI1 VILLARRICA-PUCON-066,SIC,CAUTIN,PUCON,115.758252
123,QUILPUE,SIC,PETORCA,PAPUDO,100.113758
124,MINERA CARMEN DE ANDACOLLO,SIC,ELQUI,ANDACOLLO,109.802074
125,DIEGO DE ALMAGRO,SIC,CHANARAL,DIEGO DE ALMAGRO,118.619011
126,CARRASCAL,SIC,SANTIAGO,QUINTA NORMAL,112.695947
127,BARRO BLANCO,SIC,OSORNO,OSORNO,132.018286
128,TAP SANTA ELENA,SIC,SANTIAGO,MACUL,109.041136
129,TAP VICTORIA FFCC,SIC,MALLECO,VICTORIA,118.700011
130,EL TOTORAL,SIC,SAN ANTONIO,EL QUISCO,130.236207
131,TAP SAN FELIPE 44,SIC,SAN FELIPE DE ACONCAGUA,SAN FELIPE,139.373553
132,ITAHUE,SIC,CURICO,MOLINA,122.804201
133,PUNITAQUI,SIC,LIMARI,PUNITAQUI,110.079532
134,PILLANLELBUN,SIC,CAUTIN,LAUTARO,123.08077
135,QUINTA,SIC,COLCHAGUA,CHIMBARONGO,124.636288
136,COLACO,SIC,LLANQUIHUE,CALBUCO,119.840244
137,ANCUD,SIC,CHILOE,ANCUD,129.646383
138,COCHARCAS,SIC,NUBLE,SAN CARLOS,103.633644
139,LOS ANGELES,SIC,BIOBIO,LOS ANGELES,116.275059
140,NEHUENCO,SIC,QUILLOTA,QUILLOTA,102.498051
141,CRISTALERIAS,SIC,SAN FELIPE DE ACONCAGUA,LLAILLAY,112.231954
142,PRINCIPAL CHAGRES 1N,SIC,SAN FELIPE DE ACONCAGUA,CATEMU,116.870766
143,EL SALADO,SIC,CHANARAL,CHANARAL,114.377269
144,CASAS VIEJAS,SIC,PETORCA,ZAPALLAR,133.182023
145,CASERONES,SIC,HUASCO,FREIRINA,106.899859
146,LOS ESPINOS,SIC,CHOAPA,LOS VILOS,121.876028
147,VICUNA,SIC,ELQUI,VICUNA,128.957927
148,TAP VILLA ALEGRE,SIC,LINARES,VILLA ALEGRE,105.898692
149,ALTO BONITO,SIC,LLANQUIHUE,PUERTO MONTT,110.048035
150,MARISCAL,SIC,SANTIAGO,LA PINTANA,129.128527
151,CASTRO,SIC,CHILOE,CASTRO,108.565457
152,PUNTA PADRONES,SIC,COPIAPO,CALDERA,119.898371
153,NUEVA ALDEA,SIC,NUBLE,RANQUIL,123.853068
154,SAN PEDRO DALCAHUE,SIC,CHILOE,DALCAHUE,105.764534
155,R2,SIC,CACHAPOAL,RANCAGUA,113.173853
156,SAN JOSE,SIC,SANTIAGO,LO PRADO,109.214731
157,SANTA FE,SIC,BIOBIO,NACIMIENTO,137.614637
158,HUALANE,SIC,CURICO,HUALANE,107.881106
159,CAUTIN,SIC,CAUTIN,PADRE LAS CASAS,120.61728
160,CANUTILLAR,SIC,LLANQUIHUE,COCHAMO,116.554041
161,LA VEGA,SIC,CAUQUENES,CHANCO,103.744596
162,RIO BONITO,SIC,OSORNO,PUERTO OCTAY,119.264763
163,FRUTILLAR,SIC,LLANQUIHUE,FRUTILLAR,122.24855
164,TAP SAN GREGORIO,SIC,NUBLE,NIQUEN,111.637856
165,NANCAGUA,SIC,COLCHAGUA,NANCAGUA,116.325457
166,RETIRO,SIC,LINARES,RETIRO,120.269749
167,SAN SEBASTIAN,SIC,SAN ANTONIO,EL TABO,116.688999
168,PULLINQUE,SIC,VALDIVIA,PANGUIPULLI,132.196891
169,PUERTO VARAS,SIC,LLANQUIHUE,PUERTO VARAS,104.627318
170,CHOLGUAN (STS),SIC,NUBLE,YUNGAY,127.118098
171,PUERTO MONTT (STS),SIC,SAN FELIPE DE ACONCAGUA,PANQUEHUE,105.618066
172,MONTERRICO,SIC,NUBLE,CHILLAN,100.971765
173,TAP RENAICO,SIC,MALLECO,RENAICO,129.812339
174,TAP LO VALLEDOR,SIC,SANTIAGO,CERRILLOS,102.791852
175,TAP QUINTAY,SIC,VALPARAISO,CASABLANCA,118.200151
176,LA CISTERNA,SIC,SANTIAGO,LA CISTERNA,107.313599
177,PURRANQUE,SIC,OSORNO,PURRANQUE,131.135446
178,SAN FELIPE,SIC,BIO-BIO,LAJA,139.019839
179,SAN JAVIER,SIC,LINARES,SAN JAVIER,137.574421
180,CURACAUTIN,SIC,MALLECO,CURACAUTIN,104.062964
181,PANGUE,SIC,BIOBIO,ALTO BIOBIO,116.246658
182,MINERA VALLE CENTRAL,SIC,CACHAPOAL,REQUINOA,138.691018
183,CANDELARIA,SIC,CACHAPOAL,MOSTAZAL,122.665996
184,LIHUEIMO,SIC,COLCHAGUA,PALMILLA,134.15244
185,VILLA PRAT,SIC,CURICO,SAGRADA FAMILIA,135.291499
186,LATORRE,SIC,CACHAPOAL,PEUMO,122.762018
187,PILMAIQUEN,SIC,RANCO,RIO BUENO,124.791546
188,PALMUCHO,SIC,BIO-BIO,ALTO BIOBIO,135.232305
189,CHIGUAYANTE,SIC,CONCEPCION,CHIGUAYANTE,113.372211
190,VILLARRICA,SIC,CAUTIN,VILLARRICA,128.847051
191,TAP CLUB HIPICO,SIC,SANTIAGO,PEDRO AGUIRRE CERDA,111.508956
192,EL MONTE,SIC,TALAGANTE,TALAGANTE,110.964279
193,PETROPOWER,SIC,CONCEPCION,HUALPEN,130.499788
194,PARRAL,SIC,LINARES,PARRAL,107.274718
195,SAN VICENTE DE TAGUA TAGUA,SIC,CACHAPOAL,SAN VICENTE,104.956496
196,CHONCHI,SIC,CHILOE,CHONCHI,129.355874
197,TAP LA CISTERNA,SIC,SANTIAGO,LO ESPEJO,101.400513
198,LIRCAY,SIC,MALLECO,ANGOL,118.535906
199,CANETE,SIC,ARAUCO,CANETE,104.091348
200,EL ESPINO,SIC,CHOAPA,ILLAPEL,122.472295
201,CORRAL,SIC,VALDIVIA,CORRAL,101.840261
202,PELEQUEN,SIC,CACHAPOAL,MALLOA,135.436552
203,LOS SAUCES,SIC,MALLECO,LOS SAUCES,119.130701
204,MALLOCO,SIC,TALAGANTE,PENAFLOR,125.281281
205,GORBEA,SIC,CAUTIN,GORBEA,103.496415
206,ALHUE,SIC,MELIPILLA,ALHUE,121.67863
207,LAJA I,SIC,BIOBIO,LAJA,121.164229
208,PANIAHUE,SIC,COLCHAGUA,SANTA CRUZ,116.639409
209,NUEVA IMPERIAL,SIC,CAUTIN,NUEVA IMPERIAL,121.114164
210,LEBU,SIC,ARAUCO,LEBU,112.795673
211,ALTO DEL CARMEN,SIC,HUASCO,ALTO DEL CARMEN,112.283158
212,COLCURA,SIC,CAUQUENES,CAUQUENES,129.840124
213,ANTUCO,SIC,BIOBIO,TUCAPEL,132.139131
214,NEGRETE,SIC,BIOBIO,NEGRETE,131.646975
215,PADRE HURTADO,SIC,TALAGANTE,PADRE HURTADO,125.158493
216,TINGUIRIRICA,SIC,COLCHAGUA,PLACILLA,135.030611
217,PUNTA COLORADA,SIC,ELQUI,LA HIGUERA,105.123881
218,MOVIL,SIC,SANTIAGO,ESTACION CENTRAL,118.288604
219,TAP VITACURA,SIC,SANTIAGO,VITACURA,125.980731
220,EL PENON,SING,ANTOFAGASTA,ANTOFAGASTA,134.0189
221,ANTUCOYA,SING,ANTOFAGASTA,MEJILLONES,118.187322
222,CERRO DRAGâÃ´N,SING,IQUIQUE,IQUIQUE,124.634522
223,CHAMY,SING,EL LOA,CALAMA,136.515956
224,TAP OFF BARRILES,SING,TOCOPILLA,TOCOPILLA,117.129477
225,EL COBRE,SING,ANTOFAGASTA,SIERRA GORDA,122.086065
226,PARINACOTA,SING,ARICA,ARICA,137.878889
227,COLLAHUASI UNITARIA N 2,SING,IQUIQUE,PICA,116.994976
228,GUAYAQUES,SING,TOCOPILLA,MARIA ELENA,101.728932
229,CENTRAL SOLAR PAS2,SING,IQUIQUE,POZO ALMONTE,117.865311
230,TAP OFF CUYA,SING,IQUIQUE,HUARA,112.66523
231,CONDORES,SING,IQUIQUE,ALTO HOSPICIO,135.032742
232,TAP OFF OESTE,SING,EL LOA,SAN PEDRO DE ATACAMA,127.9536
233,CHACA,SING,ARICA,CAMARONES,115.672747
234,TAP ALTO MELIPILLA 110,SING,PARINACOTA,PUTRE,125.408612
