id,nombre,sistema_electrico,provincia,comuna,tipo,potencia
160,CHACABUCO,AYSEN,AYSEN,AYSEN,Termoelectrica,53.237817008362484
161,SANTA MARIA,SIC,CONCEPCION,CORONEL,Termoelectrica,7.570043576288505
162,CORONEL,SIC,CONCEPCION,CORONEL,Termoelectrica,25.92051905235115
163,LINARES NORTE,SIC,LINARES,LINARES,Termoelectrica,15.373237907881979
164,SAN ISIDRO II,SIC,QUILLOTA,QUILLOTA,Termoelectrica,46.77479816754288
165,NEWEN,SIC,CONCEPCION,TALCAHUANO,Termoelectrica,51.119029126283664
166,LOS PINOS,SIC,BIOBIO,CABRERO,Termoelectrica,21.592114495309687
167,NEHUENCO,SIC,QUILLOTA,QUILLOTA,Termoelectrica,36.66482879560369
168,TEHUELCHE,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,4.75288873488357
169,TIRUA,SIC,ARAUCO,TIRUA,Termoelectrica,64.82527173070187
170,OLIVOS,SIC,CHOAPA,LOS VILOS,Termoelectrica,33.71231184510765
171,TEHUELCHE,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,50.58846070433463
172,SAN GREGORIO,SIC,NUBLE,NIQUEN,Termoelectrica,22.317012263932146
173,TENO,SIC,CURICO,TENO,Termoelectrica,43.89122823201077
174,TEHUELCHE,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,45.360450777526275
175,ESTANCILLA,SIC,MAIPO,SAN BERNARDO,Termoelectrica,25.20314410472013
176,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,63.007750120129614
177,CURACAUTIN,SIC,MALLECO,CURACAUTIN,Termoelectrica,61.11172670139597
178,SALMOFOOD I,SIC,CHILOE,CASTRO,Termoelectrica,22.288422116552304
179,NUEVA VENTANAS,SIC,VALPARAISO,PUCHUNCAVI,Termoelectrica,18.024314748135556
180,DIESEL TAMAYA (SUTA),SING,TOCOPILLA,TOCOPILLA,Termoelectrica,31.320559041239914
181,COCHAMO,AYSEN,CHILOE,COCHAMO,Termoelectrica,56.32852372231857
182,LONQUIMAY,SIC,MALLECO,LONQUIMAY,Termoelectrica,23.354761066321462
183,CONSTITUCION,SIC,TALCA,CONSTITUCION,Termoelectrica,59.362993428336104
184,PUERTO WILLIAMS,MAGALLANES,ANTARTICA CHILENA,CABO DE HORNOS,Termoelectrica,8.636827244095453
185,"CHUYACA (U2, U4, U1, U3, U8)",SIC,OSORNO,OSORNO,Termoelectrica,67.03726194599717
186,TALTAL (1 Y 2),SIC,ANTOFAGASTA,TALTAL,Termoelectrica,69.52212672751305
187,SANTA LIDIA,SIC,BIOBIO,CABRERO,Termoelectrica,27.648565082675603
188,PUERTO IBANEZ,AYSEN,GENERAL CARRERA,RIO IBANEZ,Termoelectrica,61.87681226513335
189,CBB-CENTRO,SIC,CURICO,TENO,Termoelectrica,45.8345632325982
190,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,42.37716248349019
191,TEHUELCHE,AYSEN,COIHAIQUE,COIHAIQUE,Termoelectrica,23.374396848506038
192,CAMPICHE,SIC,VALPARAISO,PUCHUNCAVI,Termoelectrica,9.502660328970261
193,TEHUELCHE,AYSEN,COYHAIQUE,COYHAIQUE,Termoelectrica,29.021381337981456
194,LEBU,SIC,ARAUCO,LEBU,Termoelectrica,57.768789488746236
195,TERMOPACIFICO,SIC,COPIAPO,COPIAPO,Termoelectrica,18.2045417504047
196,EAGON,SIC,CAUTIN,LAUTARO,Termoelectrica,55.84309299494639
197,PUYUHUAPI,AYSEN,AYSEN,CISNES,Termoelectrica,20.871962473947864
198,PUERTO NATALES,MAGALLANES,ULTIMA ESPERANZA,PUERTO NATALES,Termoelectrica,18.727696407292513
199,BOCAMINA (I-II),SIC,CONCEPCION,CORONEL,Termoelectrica,28.906421878358504
200,LOUSIANA PACIFIC II,SIC,CAUTIN,LAUTARO,Termoelectrica,46.58384214480311
201,CASABLANCA (U1 Y U2),SIC,VALPARAISO,CASABLANCA,Termoelectrica,33.84759594411042
202,COLMITO,SIC,VALPARAISO,CONCON,Termoelectrica,11.244772380660153
203,SAN ISIDRO I,SIC,QUILLOTA,QUILLOTA,Termoelectrica,17.76850477662308
204,ESTANDARTES (ZOFRI_7-12_ZOFRI 13),SING,IQUIQUE,IQUIQUE,Termoelectrica,39.78680961669046
205,DIESEL ZOFRI (ZOFRI 1-6_ZOFRI 1-5),SING,IQUIQUE,IQUIQUE,Termoelectrica,9.989348762147415
206,PLANTA CURICO,SIC,CURICO,CURICO,Termoelectrica,42.354597174212
207,WATT II,SIC,OSORNO,OSORNO,Termoelectrica,39.7676329738844
208,HORCONES TG,SIC,ARAUCO,ARAUCO,Termoelectrica,23.321988177465172
209,CHILOE,SIC,CHILOE,QUELLON,Termoelectrica,69.42681226948825
210,SALTA,SIC,ARGENTINA,SALTA,Termoelectrica,26.9441279248416
211,CANDELARIA (U1 Y U2),SIC,CACHAPOAL,CODEGUA,Termoelectrica,65.99536922758475
212,VENTANAS (U1 Y U2),SIC,VALPARAISO,PUCHUNCAVI,Termoelectrica,8.978282816542208
213,FUTALEUFU,AYSEN,PALENA,FUTALEUFU,Termoelectrica,6.025980327180556
214,PUNTA ARENAS,MAGALLANES,MAGALLANES,PUNTA ARENAS,Termoelectrica,69.7196179498097
215,CURAUMA,SIC,VALPARAISO,VALPARAISO,Termoelectrica,37.74349380063916
216,EL PENON,SIC,ELQUI,COQUIMBO,Termoelectrica,7.865039461744748
217,SKRETTING OSORNO,SIC,OSORNO,OSORNO,Termoelectrica,66.61494910071406
218,DIESEL IQUIQUE(MSIQ_TGIQ),SING,IQUIQUE,IQUIQUE,Termoelectrica,25.789157528313055
219,ORAFTI,SIC,NUBLE,PEMUCO,Termoelectrica,18.14624526808943
220,TOMAVAL 2,SIC,QUILLOTA,LA CRUZ,Termoelectrica,20.80793996513266
221,Nehuenco II CC,SIC,VALPARAISO,QUILLOTA,Termoelectrica,23.70307873335419
222,EL TOTORAL,SIC,SAN ANTONIO,EL QUISCO,Termoelectrica,18.146004356157192
223,LAS VEGAS,SIC,SAN FELIPE DE ACONCAGUA,LLAILLAY,Termoelectrica,31.549558602598875
224,SALMOFOOD II,SIC,CHILOE,CASTRO,Termoelectrica,32.36704286174979
225,TRAPEN,SIC,LLANQUIHUE,PUERTO MONTT,Termoelectrica,24.771301590345118
226,CMPC TISSUE,SIC,TALAGANTE,TALAGANTE,Termoelectrica,20.151655274662893
227,CHILE CHICO,AYSEN,GENERAL CARRERA,CHILE CHICO,Termoelectrica,44.781024781893585
228,SALMOFOOD II,AYSEN,CHILOE,CASTRO,Termoelectrica,62.23778444131901
229,MAULE,SIC,TALCA,CONSTITUCION,Termoelectrica,9.771733374141688
230,TOMAVAL 1,SIC,QUILLOTA,LA CRUZ,Termoelectrica,14.490021014955433
