id,airport_from,airport_to,date
105,3U9,32FL,2009-03-23 10:56:57
106,3U9,2OH7,2014-11-28 15:30:06
107,3U9,2WI7,2016-01-21 08:10:58
108,3U9,0MI9,2014-12-27 07:59:39
109,3U9,44IL,2013-03-26 15:27:25
110,37FA,2MT1,2009-05-30 06:13:23
111,37FA,34U,2014-11-07 15:52:54
112,2IA9,21MA,2014-02-02 20:45:02
113,2IA9,05GA,2016-11-05 20:35:37
114,2IA9,1AR2,2012-01-25 22:35:02
115,2IA9,0MD1,2012-06-04 07:06:33
116,2IA9,3NJ9,2010-07-23 22:50:45
117,2IA9,0OR7,2015-10-22 21:58:05
118,2IA9,29OH,2016-12-05 16:22:15
119,3IL8,2IA2,2013-11-24 07:56:09
120,3IL8,2A7,2013-10-27 11:53:27
121,2GE9,0CO9,2014-11-26 09:51:00
122,2GE9,1WN0,2015-05-19 22:20:48
123,00OI,0I2,2017-04-06 11:46:37
124,00OI,24WI,2010-06-23 06:33:48
125,32TE,1IN2,2015-10-28 22:34:31
126,32TE,00GE,2013-09-24 00:05:07
127,32TE,13OK,2009-02-26 07:42:54
128,32TE,11LS,2013-08-23 08:28:08
129,32TE,2TE9,2013-09-03 21:49:04
130,32TE,1XA9,2014-01-04 16:43:45
131,32TE,3WV2,2010-08-19 17:04:13
132,32TE,30TX,2016-06-18 14:34:03
133,32TE,06MT,2016-01-01 23:52:28
134,32TE,33NC,2015-11-14 12:29:27
135,32TE,39WA,2012-03-08 00:52:21
136,1AZ8,3IL8,2011-09-22 04:49:08
137,1AZ8,0PA6,2015-09-14 01:45:15
138,1AZ8,23JY,2016-01-17 02:35:06
139,1AZ8,17LL,2012-12-16 19:29:27
140,1AZ8,2MN9,2017-05-24 16:14:21
141,1AZ8,18CA,2012-01-27 02:27:03
142,1AZ8,0CA1,2009-02-26 01:59:59
143,04NC,2NV2,2016-07-26 01:17:32
144,04NC,12ID,2010-07-25 12:34:53
145,06NC,3WI6,2014-10-31 02:02:40
146,06NC,01KY,2013-01-24 06:59:37
147,06NC,2IA4,2011-08-16 18:19:09
148,06NC,2TN6,2013-06-04 11:19:56
149,06NC,0IS4,2014-09-13 09:52:16
150,2MS1,11GA,2015-10-02 21:44:00
151,2MS1,30NM,2009-08-15 17:11:55
152,34GA,0CT3,2010-10-03 01:16:57
153,34GA,34U,2012-07-21 13:55:38
154,3AR6,0VA0,2017-06-13 19:52:55
155,3AR6,2U7,2017-02-16 02:03:23
156,3AR6,2KY0,2016-04-14 12:39:27
157,3AR6,32NY,2013-11-19 16:06:19
158,3AR6,07GA,2017-12-10 01:03:03
159,3AR6,1N2,2012-03-05 22:52:45
160,3AR6,24NH,2010-06-03 19:40:35
161,3AR6,3NJ7,2010-02-25 04:41:34
162,3AR6,30MO,2017-06-20 06:53:07
163,3AR6,0PN5,2015-09-05 04:20:49
164,3AR6,18ME,2014-08-18 18:36:42
165,29FL,1NE2,2017-02-28 09:35:54
166,29FL,3N5,2012-08-13 12:49:28
167,35MA,39Z,2012-01-19 16:43:38
168,35MA,10TX,2015-07-23 00:57:26
169,10MU,3SD4,2010-07-12 07:54:31
170,10MU,1C9,2016-10-06 22:15:58
171,16FA,43OK,2009-01-05 13:33:04
172,16FA,1U0,2016-04-18 03:26:08
173,16FA,3N5,2013-10-16 08:34:50
174,16FA,22CN,2010-02-17 06:09:05
175,16FA,0IA7,2013-07-08 05:36:00
176,16FA,43PA,2010-10-08 03:02:31
177,35LS,18II,2014-06-10 01:03:24
178,35LS,14TS,2009-09-13 21:54:50
179,2OA3,1WI7,2009-09-01 07:29:11
180,2OA3,11GE,2014-12-09 16:55:56
181,3IN2,0CL3,2014-11-06 13:14:20
182,3IN2,3AR2,2009-06-05 00:04:03
183,3IN2,1AL3,2016-06-06 19:43:27
184,3IN2,22TX,2011-08-05 12:49:22
185,3IN2,1LL0,2015-07-05 04:31:28
186,2NK9,12WV,2011-11-19 18:41:31
187,2NK9,0NE5,2015-10-21 15:51:50
188,2NK9,12PS,2011-07-01 19:17:23
189,2NK9,0U7,2009-04-02 13:19:21
190,2NK9,23S,2013-06-12 00:38:52
191,2NK9,10TS,2009-02-08 04:58:03
192,2NK9,28NR,2016-03-08 23:07:40
193,2NK9,1WI4,2016-02-13 09:48:38
194,01TE,2XA3,2012-09-24 21:10:48
195,01TE,19IN,2016-04-03 04:34:15
196,01TE,18XA,2016-02-25 01:58:33
197,01TE,1TX2,2010-01-03 14:54:37
198,01TE,0MI4,2011-05-20 18:36:21
199,01TE,03IL,2012-11-22 13:54:13
200,01TE,3FL1,2013-02-28 11:56:14
201,01TE,14MS,2012-06-03 09:53:12
202,01TE,26ID,2016-12-09 15:05:48
203,01TE,1NK4,2017-11-05 19:44:54
204,01TE,00IN,2014-03-13 09:59:37
205,1MS6,3AR4,2014-12-27 17:51:31
206,1MS6,0AK6,2013-07-27 17:47:09
207,1MS6,0FD3,2013-04-04 03:46:40
208,1MS6,39LA,2017-06-05 05:41:47
209,1MS6,2AZ3,2010-06-16 09:48:02
210,1MS6,1MS3,2011-11-16 17:27:02
211,1MS6,3OH9,2012-11-18 02:20:34
212,1MS6,2WY3,2013-10-28 06:25:36
213,1MS6,1VA4,2011-11-27 23:21:49
214,1MS6,2TX2,2012-08-19 05:01:55
215,1MS6,0ID6,2012-03-26 22:42:34
216,3AR7,0TA9,2013-03-12 03:50:07
217,3AR7,3WA7,2013-03-23 22:00:12
218,3AR7,23DE,2009-02-22 22:48:37
219,3AR7,0NE3,2011-10-29 23:47:05
220,3AR7,09WA,2009-09-29 01:30:23
221,3AR7,39TS,2016-08-24 11:06:53
222,0AZ0,15CO,2011-05-02 11:05:24
223,0AZ0,34TE,2010-08-18 05:34:51
224,16LA,3TE8,2016-07-19 00:38:34
225,16LA,28IN,2011-04-06 01:29:32
226,2MI3,1CL5,2011-11-15 23:39:51
227,2MI3,3D8,2010-02-20 09:23:32
228,2MI3,3K4,2011-03-30 10:56:53
229,2MI3,0GA2,2010-01-11 04:27:24
230,2MI3,30MA,2010-04-05 15:17:53
231,2MI3,26CN,2012-04-05 07:27:26
232,2MI3,37TA,2016-02-03 04:21:42
233,2MI3,25OR,2013-12-01 14:03:04
234,2MI3,28TA,2013-02-24 13:33:23
235,21W,03LS,2015-03-13 07:08:01
236,21W,28TS,2016-01-20 12:38:16
237,21W,10MN,2009-09-11 01:25:08
238,21W,0TE1,2010-11-03 23:12:32
239,21W,3TE4,2012-11-16 09:26:01
240,21W,21AZ,2017-01-25 14:30:13
241,21W,12AZ,2010-09-21 02:05:35
242,2ID9,3MN5,2010-01-05 22:12:26
243,2ID9,17CA,2016-02-23 08:13:18
244,24XA,0OR3,2015-08-19 22:04:07
245,24XA,11LA,2014-06-21 03:48:02
246,24XA,3VG2,2014-11-01 11:37:06
247,24XA,0WI6,2011-12-24 15:26:37
248,24XA,45IS,2015-08-12 07:46:10
249,24XA,12MT,2016-09-07 16:46:34
250,24XA,3KY5,2014-12-31 19:21:18
251,24XA,13WI,2015-05-30 18:38:15
252,24XA,25AK,2013-09-15 20:54:05
253,24XA,09N,2013-01-04 05:56:00
254,3MD3,16NJ,2010-02-25 00:57:15
255,3MD3,31LL,2011-08-05 18:57:35
256,2OI2,15FD,2013-05-14 01:22:23
257,2OI2,1NJ3,2012-04-26 16:49:19
258,2OI2,13KY,2017-08-07 15:04:57
259,2OI2,3GE4,2011-11-26 02:14:46
260,2OI2,2NH5,2013-01-02 01:14:19
261,2OI2,3TS8,2011-08-28 15:42:21
262,2OI2,3U2,2009-02-18 03:06:47
263,2OI2,3VA2,2009-05-04 06:02:47
264,2OI2,1AZ6,2012-05-17 11:56:07
265,2OI2,0KS3,2015-10-12 18:25:18
266,2OI2,42LA,2016-03-11 17:06:55
267,1TA7,19NC,2010-04-27 21:48:49
268,1TA7,2CD9,2014-01-16 02:37:10
269,1TA7,35KS,2012-09-03 10:49:59
270,1TA7,31AR,2014-09-04 18:33:11
271,1TA7,0NY8,2010-03-23 14:01:56
272,09IA,2CO6,2017-01-29 20:17:12
273,09IA,14ID,2017-03-06 21:33:18
274,09IA,1OR8,2013-02-02 04:33:05
275,09IA,01ME,2014-11-18 10:02:33
276,09IA,07OH,2017-01-22 19:56:16
277,09IA,36CN,2009-02-13 04:24:34
278,09IA,38FD,2015-04-21 04:27:39
279,09IA,0N6,2015-09-05 15:31:50
280,09IA,13FA,2015-04-30 09:28:20
281,09IA,05AR,2011-02-19 12:19:27
282,09IA,18FD,2011-09-21 04:34:30
283,1OA6,10KS,2014-08-31 11:05:52
284,1OA6,0N6,2009-03-25 03:20:03
285,1OA6,3TA5,2017-06-15 14:51:41
286,1OA6,15OK,2011-07-05 02:41:33
287,1OA6,2IL0,2017-06-21 00:56:19
288,1OA6,07AZ,2013-11-24 12:49:42
289,1OA6,1TE8,2010-12-05 23:56:29
290,1OA6,2GA6,2013-04-20 06:19:12
291,1OA6,0SD1,2010-08-14 15:26:35
292,1OA6,2D6,2017-01-18 16:47:57
293,1OA6,36TX,2016-08-31 09:04:17
294,0OR8,3II7,2011-03-17 05:12:32
295,0OR8,0IL5,2016-05-21 03:16:10
296,0OR8,3OR6,2015-12-19 21:07:52
297,0OR8,2XS0,2016-06-14 02:48:40
298,0OR8,06MI,2013-01-04 06:26:24
299,0OR8,1NA5,2013-11-18 16:24:11
300,2OA7,2SC6,2013-02-05 19:47:38
301,2OA7,21IN,2011-04-16 12:19:48
302,2OA7,1IL6,2011-06-30 16:47:01
303,2OA7,13AR,2012-06-09 22:58:08
304,2OA7,1MO2,2009-05-16 12:17:18
305,2OA7,43Y,2010-06-08 08:32:52
306,2OA7,0MA8,2012-11-06 05:47:22
307,2OA7,2CO8,2014-09-11 11:43:38
308,2OA7,03WN,2012-04-28 19:31:47
309,1IS5,2FL8,2015-06-02 09:34:09
310,1IS5,0MA1,2014-02-28 20:00:41
311,1IS5,3IN6,2016-07-30 01:51:25
312,1IS5,07KS,2014-03-06 19:42:19
313,1IS5,2TN1,2015-07-08 19:32:09
314,1IS5,22NA,2014-02-03 05:50:25
315,1IS5,16MS,2015-09-10 20:56:32
316,1IS5,28PA,2009-09-30 09:48:31
317,1IS5,44NC,2012-06-20 17:53:26
318,1IS5,21H,2013-01-03 19:48:05
319,31AZ,2WA5,2013-03-29 16:48:30
320,31AZ,0CT4,2016-09-26 01:01:07
321,31AZ,3WA9,2011-06-01 03:40:33
322,31AZ,42KS,2015-01-10 15:53:43
323,31AZ,17TS,2016-06-09 07:28:02
324,31AZ,3NE3,2010-12-24 14:37:31
325,31AZ,17NH,2015-03-22 20:13:12
326,31AZ,0TA9,2011-06-18 15:19:18
327,31AZ,2MD2,2010-09-11 03:17:45
328,3IL7,0CD7,2015-07-05 23:01:09
329,3IL7,23OA,2011-10-28 23:53:36
330,3IL7,2FA4,2015-11-01 17:12:15
331,3IL7,43TA,2013-01-08 09:29:34
332,3IL7,1PN1,2016-06-21 14:54:52
333,3IL7,1IL9,2016-03-11 21:18:20
334,3IL7,0W0,2010-01-25 10:22:09
335,3IL7,12WI,2016-07-22 00:55:32
336,3IL7,0PS4,2014-08-07 06:18:36
337,3WA0,0LS6,2012-09-17 16:21:24
338,3WA0,03TX,2011-06-04 09:27:28
339,3WA0,3TA8,2012-03-26 19:27:28
340,3WA0,2MT0,2013-10-09 15:42:47
341,3WA0,33NE,2010-08-06 03:29:06
342,3WA0,3CL1,2009-03-16 17:33:29
343,3WA0,2WA0,2015-08-25 11:14:22
344,3WA0,2NK5,2016-04-03 00:17:35
345,42VA,2X2,2016-11-16 21:21:14
346,42VA,3AL7,2009-12-10 17:14:50
347,42VA,2UT3,2014-02-25 17:02:12
348,42VA,26CA,2010-07-29 12:45:49
349,42VA,0WN7,2011-01-12 20:10:30
350,42VA,01AZ,2009-03-12 23:19:17
351,42VA,09IL,2017-10-06 17:08:19
352,42VA,0OH6,2012-09-06 21:31:00
353,2NC4,27PA,2010-11-21 17:00:14
354,2NC4,0VA9,2016-12-06 21:46:41
355,2NC4,06FL,2016-03-13 19:48:40
356,2NC4,1Y3,2017-06-23 18:06:11
357,2NC4,20AL,2013-04-17 23:12:19
358,2NC4,27TN,2009-03-23 03:00:07
359,2NC4,1PA3,2013-10-12 15:44:05
360,2NC4,3IN9,2017-08-20 13:40:37
361,2NC4,08ID,2011-12-29 04:01:02
362,34NJ,1KS9,2017-06-02 06:20:58
363,34NJ,33WI,2012-05-25 01:07:37
364,1KY6,1TE6,2016-02-29 06:59:51
365,1KY6,12GE,2015-11-06 10:41:59
366,22KY,32LA,2013-12-03 01:36:50
367,22KY,0CT7,2017-05-08 13:47:38
368,1FL6,2H4,2017-01-14 20:03:15
369,1FL6,2TS0,2014-02-04 19:13:08
370,1MU4,35TA,2017-09-11 20:49:00
371,1MU4,2RI7,2016-07-31 15:54:23
372,1MU4,0NM0,2016-09-12 20:01:54
373,1MU4,3MO9,2011-08-31 23:01:37
374,1MU4,0J0,2011-06-08 06:24:57
375,1MU4,16CL,2014-06-04 12:20:55
376,23NR,09LL,2014-01-22 23:33:52
377,23NR,2E2,2017-12-30 18:50:11
378,23NR,03MN,2010-01-18 08:24:12
379,23NR,05ME,2014-04-29 04:44:14
380,23NR,3T6,2009-08-09 04:23:30
381,23NR,0IN7,2014-12-16 12:00:52
382,23NR,1M7,2017-04-16 19:22:52
383,20SC,36PN,2015-09-14 14:52:17
384,20SC,1WI4,2013-10-26 15:50:03
385,20SC,10MT,2010-01-15 05:56:31
386,20SC,3MS9,2014-11-08 05:29:11
387,20SC,18K,2014-09-15 05:57:37
388,20SC,1WA7,2011-09-08 19:38:17
389,20SC,2LA7,2012-02-18 05:30:32
390,20SC,33ID,2010-07-28 17:04:16
391,20SC,2KY3,2017-11-02 15:04:28
392,20SC,1AZ2,2009-05-19 18:03:08
393,19TN,3MN6,2009-04-12 08:08:15
394,19TN,36MO,2011-05-21 19:37:09
395,19TN,40TX,2011-11-10 20:30:42
396,19TN,0TN7,2012-07-07 18:42:56
397,19TN,2VA5,2016-03-31 08:25:27
398,19TN,3KS0,2012-02-28 03:53:02
399,19TN,0NK2,2014-03-09 06:38:09
400,19TN,35MO,2015-10-10 07:08:51
401,19TN,05NH,2014-06-14 19:12:21
402,19TN,17MN,2016-03-19 02:22:28
403,19TN,41NJ,2015-11-07 03:40:11
404,40ND,02GE,2015-10-22 11:40:32
405,40ND,0AA7,2015-11-19 13:21:13
406,1MN2,03PR,2013-07-23 08:31:51
407,1MN2,3AL6,2014-06-15 22:02:08
408,1MN2,10OK,2010-07-27 00:01:45
409,1MN2,0MO3,2014-12-06 12:40:26
410,1MN2,3NC3,2010-07-29 22:07:50
411,1MN2,1IS3,2016-10-14 00:25:05
412,1MN2,06LS,2017-10-14 23:22:42
413,14CT,09IL,2009-08-03 07:21:15
414,14CT,1WI2,2012-10-30 07:44:21
415,2TE8,03TS,2017-11-11 11:43:36
416,2TE8,11PA,2015-03-29 02:56:50
417,2TE8,3TE2,2014-01-01 10:20:50
418,2TE8,07K,2015-04-01 22:11:28
419,2TE8,2IN3,2014-08-20 18:53:15
420,2TE8,0TX5,2009-08-29 12:38:24
421,2TE8,1OA7,2013-03-29 15:16:08
422,2TE8,45IA,2016-11-12 04:27:51
423,2TE8,1NJ4,2009-08-05 11:47:11
424,2TE8,3EX,2012-11-30 17:31:00
425,11N,1UT9,2009-03-10 07:35:45
426,11N,2OR1,2016-06-11 03:37:07
427,11N,28XA,2009-08-07 01:06:57
428,11N,1TS2,2015-06-04 11:56:54
429,11N,01PA,2014-09-07 00:41:37
430,11N,1TA5,2009-05-01 19:23:50
431,11N,13OI,2009-08-10 19:29:31
432,11N,39IS,2011-06-12 20:51:56
433,2OK2,24LA,2014-07-06 13:26:38
434,2OK2,03NV,2017-10-18 04:46:04
435,2OK2,09KY,2013-10-04 10:16:46
436,2OK2,20AK,2011-12-16 11:19:12
437,2OK2,27II,2013-12-24 02:53:01
438,36LS,40IL,2015-04-11 15:03:00
439,36LS,3OI4,2009-03-13 17:47:19
440,34LL,3CO2,2013-11-11 12:23:44
441,34LL,14FD,2017-06-28 01:36:13
442,15AZ,02WI,2015-07-19 03:36:27
443,15AZ,3MO8,2015-06-08 10:26:55
444,15AZ,1ID6,2012-02-09 22:06:35
445,15AZ,19TA,2013-07-05 06:15:38
446,15AZ,2OR2,2011-01-13 22:53:06
447,15AZ,3XA8,2013-05-20 17:23:32
448,15AZ,1KS1,2016-06-19 13:11:59
449,15AZ,37OR,2014-08-23 21:49:07
450,38TS,2LA3,2016-07-12 17:04:25
451,38TS,3NJ3,2014-02-06 10:23:51
452,0FD3,12NE,2015-08-01 07:13:10
453,0FD3,3XA2,2017-10-10 00:17:49
454,0FD3,35OH,2012-03-30 01:28:35
455,0FD3,27NK,2012-04-04 17:57:54
456,0FD3,44TN,2009-10-13 23:56:01
457,0FD3,18AK,2015-05-20 23:58:46
458,0FD3,0CA7,2009-08-31 20:08:44
459,0FD3,1CL6,2009-01-21 06:10:31
460,0FD3,1OR6,2015-03-03 01:19:45
461,0FD3,0NV1,2013-11-03 01:19:25
462,30IL,2MN5,2009-07-14 11:29:14
463,30IL,33OR,2010-08-02 04:26:56
464,09VA,29TA,2011-10-24 18:59:50
465,09VA,45WA,2014-06-15 00:06:24
466,09VA,45IL,2015-11-29 05:58:31
467,09VA,3OH2,2009-01-15 01:14:33
468,09VA,01MA,2010-02-22 02:22:00
469,09VA,20NY,2011-05-11 07:03:27
470,09VA,29VA,2009-08-07 05:10:27
471,09VA,1AR9,2017-11-02 20:12:23
472,09VA,2II0,2014-09-08 04:29:33
473,09VA,2Y3,2016-03-13 17:38:04
474,09VA,1MT0,2010-04-10 00:52:56
475,1IL0,2IL6,2016-09-20 22:28:50
476,1IL0,07FA,2011-10-31 23:51:46
477,1IL0,39PA,2010-12-06 12:55:53
478,1IL0,43OR,2016-04-05 07:13:26
479,1IL0,3MI2,2015-10-16 05:44:48
480,1IL0,42MA,2012-03-23 07:37:48
481,1IL0,18VT,2010-10-01 09:44:37
482,1IL0,09CN,2015-02-03 04:52:21
483,1IL0,2LL4,2010-09-10 22:54:44
484,1IL0,3IS3,2017-11-11 06:58:42
485,1IL0,1TA3,2010-07-16 12:12:04
486,0B7,2MT9,2011-09-16 06:03:53
487,0B7,0NK9,2010-08-28 19:18:56
488,0B7,12NH,2016-05-24 09:15:02
489,0B7,0KS4,2015-07-03 21:23:50
490,0B7,35NJ,2011-02-01 06:35:01
491,0B7,0H7,2011-11-09 22:26:19
492,0B7,0MD2,2013-02-09 18:58:49
493,0B7,2CL6,2009-11-22 12:55:01
494,0B7,2MA4,2009-12-04 04:19:08
495,0B7,0CO4,2011-07-19 02:54:08
496,0B7,35TE,2009-12-23 13:39:25
497,21WI,30CL,2014-06-14 08:29:06
498,21WI,1MS5,2017-05-08 20:42:44
499,3WA1,22MT,2011-03-13 09:54:21
500,3WA1,44GA,2011-12-24 02:56:57
501,3WA1,1NJ4,2016-01-13 19:07:24
502,3WA1,0GA8,2017-10-09 16:50:10
503,3WA1,2ND2,2013-09-12 09:15:29
504,3WA1,20KY,2013-11-03 22:53:59
505,3WA1,3VA4,2011-06-03 21:15:41
506,3WA1,2MN3,2013-06-27 01:19:40
507,3WA1,1MU8,2017-07-23 02:50:38
508,3WA1,06ID,2017-04-21 23:49:46
509,3WA1,37N,2015-12-15 01:59:52
510,01CO,2OH2,2013-10-22 16:13:25
511,01CO,01KY,2014-01-09 03:56:05
512,09FL,26MA,2012-04-02 22:38:44
513,09FL,27IS,2010-05-30 12:20:33
514,09FL,1WN3,2015-02-03 20:15:18
515,09FL,14OH,2013-04-20 22:48:16
516,09FL,29MD,2011-12-08 20:01:55
517,09FL,3NC8,2017-02-11 13:53:43
518,09FL,00UT,2011-10-08 10:52:57
519,09FL,3OK1,2010-10-17 14:37:08
520,0SD1,25WN,2011-05-15 20:10:46
521,0SD1,1OR7,2015-03-16 05:00:38
522,0SD1,00AA,2011-10-30 21:56:46
523,0SD1,3NE9,2014-11-26 02:33:53
524,0SD1,0XS6,2016-07-29 01:03:54
525,0SD1,37VT,2009-01-09 22:49:24
526,0SD1,3VG3,2010-05-06 02:27:58
527,0SD1,35FL,2013-06-05 20:00:04
528,0SD1,2CL3,2011-11-12 11:52:13
529,0SD1,28FL,2009-06-16 02:43:50
530,0SD1,1WI6,2010-08-26 07:00:29
531,26FA,2OA4,2016-08-04 06:57:57
532,26FA,26TX,2012-08-31 17:00:51
533,1LS0,3AK7,2014-01-03 12:54:00
534,1LS0,2PN5,2010-05-17 07:04:57
535,1LS0,1MN4,2012-08-02 23:41:26
536,1LS0,1IN5,2010-06-06 04:33:05
537,1LS0,33II,2014-07-29 12:33:24
538,1LS0,3OR2,2013-03-22 22:41:38
539,1LS0,3TX2,2012-02-12 04:45:31
540,1LS0,01MA,2011-12-25 20:36:20
541,1LS0,36CN,2010-10-16 03:40:55
542,0TN7,30MA,2017-04-27 01:43:44
543,0TN7,1PS9,2012-10-06 19:08:35
544,01IS,08NH,2010-08-05 10:10:47
545,01IS,20ME,2015-11-16 23:38:56
546,01IS,1D5,2012-06-12 11:38:39
547,01IS,40GA,2010-01-10 05:33:46
548,01IS,38TN,2010-06-06 18:12:22
549,01IS,2U7,2017-08-31 00:04:40
550,01IS,35LL,2010-10-06 07:32:00
551,01IS,01KS,2013-10-05 21:58:21
552,01IS,19WI,2009-01-17 15:09:12
553,01IS,1NE1,2011-04-28 07:35:19
554,01IS,0CL3,2012-10-19 16:22:29
555,08PA,24OR,2009-04-29 09:48:59
556,08PA,29OR,2013-06-13 04:47:44
557,1NK1,0AR0,2011-10-16 09:56:20
558,1NK1,12ID,2015-07-19 06:15:34
559,1PS3,3PA4,2015-12-29 07:27:47
560,1PS3,0LA0,2009-12-05 05:26:37
561,40TE,08LS,2016-05-16 17:37:26
562,40TE,01CA,2015-04-08 07:21:40
563,40TE,29MD,2012-01-12 09:06:56
564,40TE,26MO,2017-12-16 23:37:20
565,40TE,07NC,2009-01-16 01:22:22
566,40TE,36NH,2014-05-11 09:01:42
567,40TE,35AL,2016-09-12 14:57:22
568,40TE,14AZ,2013-06-04 00:00:02
569,40TE,18K,2013-12-02 08:33:14
570,40TE,3NK6,2017-04-01 10:20:14
571,35OI,2NK3,2011-04-18 14:46:06
572,35OI,1SD7,2011-02-15 04:10:02
573,13MN,1OH7,2014-04-02 00:01:55
574,13MN,2IS7,2009-06-02 16:50:17
575,13MN,2CO5,2011-12-25 15:44:26
576,13MN,11TX,2009-02-27 19:03:10
577,13MN,14NH,2017-07-24 17:04:05
578,13MN,19CL,2012-04-07 18:53:54
579,13MN,33MO,2014-08-27 15:22:30
580,13MN,2TX6,2011-12-17 16:02:32
